action,scenario,year,m_euro
Нові капітальні інвестиції в технології виробництва е/е та тепла,Ліберальний,2035,5410
Нові капітальні інвестиції в технології виробництва е/е та тепла,Ліберальний,2040,6300
Нові капітальні інвестиції в технології виробництва е/е та тепла,Ліберальний,2045,6835
Нові капітальні інвестиції в технології виробництва е/е та тепла,Ліберальний,2050,7087
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2012,0
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2015,3750
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2020,12411
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2025,22049
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2030,28282
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2035,31697
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2040,33290
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2045,34217
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Ліберальний,2050,35318
Нові капітальні інвестиції в проміжні технології,Ліберальний,2012,0
Нові капітальні інвестиції в проміжні технології,Ліберальний,2015,21
Нові капітальні інвестиції в проміжні технології,Ліберальний,2020,445
Нові капітальні інвестиції в проміжні технології,Ліберальний,2025,982
Нові капітальні інвестиції в проміжні технології,Ліберальний,2030,1420
Нові капітальні інвестиції в проміжні технології,Ліберальний,2035,2004
Нові капітальні інвестиції в проміжні технології,Ліберальний,2040,2629
Нові капітальні інвестиції в проміжні технології,Ліберальний,2045,2966
Нові капітальні інвестиції в проміжні технології,Ліберальний,2050,3083
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2012,1614
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2015,1307
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2020,1714
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2025,2336
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2030,2710
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2035,3436
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2040,4217
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2045,4639
"Витрати на транспортування, постачання та проміжні технології",Ліберальний,2050,4735
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2012,1515
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2015,1592
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2020,2336
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2025,2996
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2030,3665
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2035,4071
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2040,4768
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2045,5371
Експлуатаційні витрати (технології виробництва е/е та тепла),Ліберальний,2050,5718
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2012,2880
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2015,3067
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2020,5429
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2025,9657
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2030,13803
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2035,17516
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2040,20304
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2045,22165
Експлуатаційні витрати (технології кінцевого енергоспоживання),Ліберальний,2050,23633
Субсидії («зелений» тариф),Ліберальний,2012,157
Субсидії («зелений» тариф),Ліберальний,2015,286
Субсидії («зелений» тариф),Ліберальний,2020,2113
Субсидії («зелений» тариф),Ліберальний,2025,3619
Субсидії («зелений» тариф),Ліберальний,2030,3673
Субсидії («зелений» тариф),Ліберальний,2035,0
Субсидії («зелений» тариф),Ліберальний,2040,0
Субсидії («зелений» тариф),Ліберальний,2045,0
Субсидії («зелений» тариф),Ліберальний,2050,0
Вартість палива,Революційний,2012,20405
Вартість палива,Революційний,2015,13500
Вартість палива,Революційний,2020,10866
Вартість палива,Революційний,2025,9246
Вартість палива,Революційний,2030,8322
Вартість палива,Революційний,2035,7204
Вартість палива,Революційний,2040,6150
Вартість палива,Революційний,2045,4934
Вартість палива,Революційний,2050,4123
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2012,0
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2015,7
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2020,1957
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2025,4735
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2030,6990
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2035,8639
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2040,10395
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2045,11563
Нові капітальні інвестиції в технології виробництва е/е та тепла,Революційний,2050,14801
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2012,0
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2015,3750
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2020,12408
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2025,23085
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2030,30593
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2035,35162
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2040,36707
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2045,37827
Нові капітальні інвестиції в технології кінцевого енергоспоживання,Революційний,2050,41277
Нові капітальні інвестиції в проміжні технології,Революційний,2012,0
Нові капітальні інвестиції в проміжні технології,Революційний,2015,21
Нові капітальні інвестиції в проміжні технології,Революційний,2020,460
Нові капітальні інвестиції в проміжні технології,Революційний,2025,1285
Нові капітальні інвестиції в проміжні технології,Революційний,2030,1729
Нові капітальні інвестиції в проміжні технології,Революційний,2035,2308
Нові капітальні інвестиції в проміжні технології,Революційний,2040,2807
Нові капітальні інвестиції в проміжні технології,Революційний,2045,3083
Нові капітальні інвестиції в проміжні технології,Революційний,2050,3345
"Витрати на транспортування, постачання та проміжні технології",Революційний,2012,1614
"Витрати на транспортування, постачання та проміжні технології",Революційний,2015,1307
"Витрати на транспортування, постачання та проміжні технології",Революційний,2020,1743
