source,is_vde,sphere,year,k_t_ne
Електроенергія,0,Сфера послуг,2050,247.0
Газ,0,Сфера послуг,2050,184.0
Теплова енергія,0,Сфера послуг,2050,183.0
Вугілля,0,Сфера послуг,2050,74.0
Нафта та нафтопродукти,0,Сфера послуг,2050,0.0
Електроенергія з ВДЕ,1,Сфера послуг,2050,3252.0
Сонячна енергія,1,Сфера послуг,2050,1012.0
Теплова енергія з ВДЕ,1,Сфера послуг,2050,850.0
Біопаливо та відходи,1,Сфера послуг,2050,80.0
Нафта та нафтопродукти,0,Сільське господарство,2012,1364.0
Електроенергія,0,Сільське господарство,2012,312.0
Теплова енергія,0,Сільське господарство,2012,312.0
Газ,0,Сільське господарство,2012,153.0
Вугілля,0,Сільське господарство,2012,14.0
Біопаливо та відходи,1,Сільське господарство,2012,20.0
Електроенергія з ВДЕ,1,Сільське господарство,2012,20.0
Теплова енергія з ВДЕ,1,Сільське господарство,2012,0.3
Сонячна енергія,1,Сільське господарство,2012,0.0
Нафта та нафтопродукти,0,Сільське господарство,2035,771.0
Теплова енергія,0,Сільське господарство,2035,247.0
Електроенергія,0,Сільське господарство,2035,144.0
Газ,0,Сільське господарство,2035,104.0
Вугілля,0,Сільське господарство,2035,2.0
Біопаливо та відходи,1,Сільське господарство,2035,1119.0
Електроенергія з ВДЕ,1,Сільське господарство,2035,245.0
Теплова енергія з ВДЕ,1,Сільське господарство,2035,150.0
Сонячна енергія,1,Сільське господарство,2035,0.0
Теплова енергія,0,Сільське господарство,2050,84.0
Електроенергія,0,Сільське господарство,2050,33.0
Газ,0,Сільське господарство,2050,0.0
Вугілля,0,Сільське господарство,2050,0.0
Нафта та нафтопродукти,0,Сільське господарство,2050,0.0
Біопаливо та відходи,1,Сільське господарство,2050,2232.0
Електроенергія з ВДЕ,1,Сільське господарство,2050,439.0
Теплова енергія з ВДЕ,1,Сільське господарство,2050,388.0
Сонячна енергія,1,Сільське господарство,2050,0.0
