source	sphere	scenario	2012	2015	2020	2025	2030	2035	2040	2045	2050
Газ	населення	Ліберальний	13760	9083	10419	9446	7823	7722	6794	5707	4934
Теплова енергія	населення	Ліберальний	4677	2864	3588	3146	2687	2056	1480	1224	960
Нафта та нафтопродукти	населення	Ліберальний	71	14	10	0	0	0	0	0	0
Всього	населення	Ліберальний	23467	16555	18563	16790	14542	14091	13513	13523	13842
Біопаливо та відходи	транспорт	Ліберальний	0	34	239	491	447	422	612	756	1213
Електроенергія з ВДЕ	транспорт	Ліберальний	48	32	108	168	247	380	637	1031	1274
Вугілля	транспорт	Ліберальний	12	4	11	11	12	12	12	12	12
Електроенергія	транспорт	Ліберальний	750	553	630	636	645	783	1084	1492	1575
Газ	транспорт	Ліберальний	2050	1572	1574	1778	1820	1984	2015	1119	1414
Нафта та нафтопродукти	транспорт	Ліберальний	8588	6554	8295	8397	8947	9080	8301	7198	6343
Всього	транспорт	Ліберальний	11448	8749	10856	11481	12117	12661	12660	11608	11831
Біопаливо та відходи	сфера послуг	Ліберальний	27	46	311	152	66	82	78	78	79
Сонячна енергія	сфера послуг	Ліберальний	0	0	0	0	0	109	400	988	1683
Теплова енергія з ВДЕ	сфера послуг	Ліберальний	2	5	191	233	298	425	483	422	387
Електроенергія з ВДЕ	сфера послуг	Ліберальний	119	101	264	375	527	654	769	885	991
Вугілля	сфера послуг	Ліберальний	161	67	164	110	67	100	70	72	74
Газ	сфера послуг	Ліберальний	463	195	556	503	445	432	527	656	716
Нафта та нафтопродукти	сфера послуг	Ліберальний	78	92	63	48	21	20	21	22	23
Теплова енергія	сфера послуг	Ліберальний	2326	1555	2163	2120	2217	2014	1689	1337	915
Електроенергія	сфера послуг	Ліберальний	1861	1777	1536	1423	1379	1346	1310	1281	1226
Всього	сфера послуг	Ліберальний	5037	3838	5248	4964	5020	5181	5347	5741	6093
Біопаливо та відходи	сільське господарство	Ліберальний	20	19	19	21	23	248	529	861	2127
Теплова енергія з ВДЕ	сільське господарство	Ліберальний	0	1	23	31	40	63	85	95	137
Електроенергія з ВДЕ	сільське господарство	Ліберальний	20	16	42	66	95	119	140	160	196
Вугілля	сільське господарство	Ліберальний	14	9	12	13	15	13	11	9	1
Електроенергія	сільське господарство	Ліберальний	312	273	242	249	248	246	239	231	243
Газ	сільське господарство	Ліберальний	153	129	104	115	126	126	119	105	36
Теплова енергія	сільське господарство	Ліберальний	312	211	255	278	299	301	296	302	324
Нафта та нафтопродукти	сільське господарство	Ліберальний	1364	1302	1194	1345	1481	1412	1245	1027	62
Всього	сільське господарство	Ліберальний	2195	1960	1889	2117	2326	2528	2664	2791	3125
Вугілля	загалом	Революційний	9212	5952	6270	6301	6032	5419	4006	2790	621
Газ	загалом	Революційний	21698	13741	14417	12353	9167	7615	6748	4562	460
Нафта та нафтопродукти	загалом	Революційний	11347	8776	10240	8988	7361	5874	4132	1706	3
Теплова енергія	загалом	Революційний	11865	7526	10054	10173	10543	10340	9851	9583	9050
Електроенергія	загалом	Революційний	11840	10233	11874	13631	14966	17420	20369	23832	27212
Біопаливо та відходи	загалом	Революційний	1029	1282	1891	3318	4724	5696	6264	6220	7335
Сонячна енергія	загалом	Революційний	0	0	0	0	163	657	1490	2790	4316
Всього	загалом	Революційний	66991	47510	54746	54765	52957	53020	52860	51483	48998
Біопаливо та відходи	промисловість	Революційний	46	86	88	170	278	478	680	889	1235
Теплова енергія з ВДЕ	промисловість	Революційний	5	10	344	611	812	1268	1693	1953	2335
Електроенергія з ВДЕ	промисловість	Революційний	325	232	952	2811	4554	5728	7401	9132	12946
Вугілля	промисловість	Революційний	8310	5569	5444	5575	5439	4910	3739	2603	547
Електроенергія	промисловість	Революційний	5102	4065265	4921	4484	3320	3374	3116	3038	983
Газ	промисловість	Революційний	5272	2762	2146	2059	1830	1552	1152	776	276
Теплова енергія	промисловість	Революційний	4538	2870	3084	2815	2538	2090	1516	1106	503
Нафта та нафтопродукти	промисловість	Революційний	1246	814	1055	891	774	676	909	223	
Всього	промисловість	Революційний	24844	16408	18034	19415	19544	20077	20206	19720	18825
Біопаливо та відходи	населення	Революційний	936	1097	430	319	225	137	39	0	0
Сонячна енергія	населення	Революційний	0	0	0	163	642	1372	2265	3304	
Теплова енергія з ВДЕ	населення	Революційний	5	10	399	734	1110	1739	2377	2980	3873
Електроенергія з ВДЕ	населення	Революційний	198	172	512	1145	1782	2251	2990	3763	5309
Вугілля	населення	Революційний	715	303	638	578	510	395	176	109	0
Електроенергія	населення	Революційний	3105	3012	2645	1827	1299	1325	1259	1252	403
Газ	населення	Революційний	13760	9083	10351	9012	6609	5450	4061	1981	0
Теплова енергія	населення	Революційний	4677	2864	3572	3378	3471	2867	2129	1689	834
Нафта та нафтопродукти	населення	Революційний	71	14	22	0	0	0	0	0	0
Всього	населення	Революційний	23467	16555	18568	16991	15170	14807	14403	14039	13723
Біопаливо та відходи	транспорт	Революційний	0	34	950	2207	3169	3521	3663	3306	3787
Електроенергія з ВДЕ	транспорт	Революційний	48	32	120	363	724	1098	1632	2251	3346
Вугілля	транспорт	Революційний	12	4	11	11	12	12	10	5	0
Електроенергія	транспорт	Революційний	750	553	620	580	528	647	687	749	254
Газ	транспорт	Революційний	2050	1572	1250	670	220	214	1191	1522	0.1
Нафта та нафтопродукти	транспорт	Революційний	8588	6554	7818	6924	5613	4426	2684	1199	3
Всього	транспорт	Революційний	11448	8749	10768	10756	10266	9918	9868	9032	7390
Біопаливо та відходи	сфера послуг	Революційний	27	46	311	218	313	440	391	180	80
Сонячна енергія	сфера послуг	Революційний	0	0	0	0	0	14	118	525	1012
Теплова енергія з ВДЕ	сфера послуг	Революційний	2	5	236	411	545	747	901	897	850
Електроенергія з ВДЕ	сфера послуг	Революційний	119	101	293	806	1387	1642	2018	2410	3252
Вугілля	сфера послуг	Революційний	161	67	164	130	67	100	79	72	74
Газ	сфера послуг	Революційний	463	195	542	488	388	295	267	233	184
Нафта та нафтопродукти	сфера послуг	Революційний	78	92	60	28	0	0	2	0	0
Теплова енергія	сфера послуг	Революційний	2326	1555	2117	1892	1704	1231	807	508	183
Електроенергія	сфера послуг	Революційний	1861	1777	1513	1286	1011	967	849	802	247
Всього	сфера послуг	Революційний	5037	3838	5236	5258	5415	5436	5433	5625	5883
Біопаливо та відходи	сільське господарство	Революційний	20	19	112	404	739	1119	1491	1845	2232
Сонячна енергія	сільське господарство	Революційний	0	0	0	0	0	0	0	0	0
Теплова енергія з ВДЕ	сільське господарство	Революційний	0.3	1	30	59	88	150	226	288	388
Електроенергія з ВДЕ	сільське господарство	Революційний	20	16	49	127	208	245	293	327	439
Вугілля	сільське господарство	Революційний	14	9	13	7	4	2	1	1	0
Електроенергія	сільське господарство	Революційний	312	273	251	203	152	144	123	109	33
Газ	сільське господарство	Революційний	153	129	128	125	120	104	77	51	0
Теплова енергія	сільське господарство	Революційний	312	211	272	274	275	247	202	163	84
Нафта та нафтопродукти	сільське господарство	Революційний	1364	1302	1286	1146	974	771	536	285	0
Всього	сільське господарство	Революційний	2195	1960	2140	2346	2562	2782	2950	3068	3176
