sphere,scenario,year,by_vde,ktne
сільське господарство,Базовий,2025,dirt,2451.0
сільське господарство,Базовий,2025,vde,59.0
сільське господарство,Базовий,2030,dirt,2660.0
сільське господарство,Базовий,2030,vde,64.0
сільське господарство,Базовий,2035,dirt,2863.0
сільське господарство,Базовий,2035,vde,66.0
сільське господарство,Базовий,2040,dirt,3022.0
сільське господарство,Базовий,2040,vde,67.0
сільське господарство,Базовий,2045,dirt,3147.0
сільське господарство,Базовий,2045,vde,68.0
сільське господарство,Базовий,2050,dirt,3252.0
сільське господарство,Базовий,2050,vde,70.0
сільське господарство,Революційний,2012,dirt,2155.0
сільське господарство,Революційний,2012,vde,40.3
сільське господарство,Революційний,2015,dirt,1924.0
сільське господарство,Революційний,2015,vde,36.0
сільське господарство,Революційний,2020,dirt,1950.0
сільське господарство,Революційний,2020,vde,191.0
сільське господарство,Революційний,2025,dirt,1755.0
сільське господарство,Революційний,2025,vde,590.0
сільське господарство,Революційний,2030,dirt,1525.0
сільське господарство,Революційний,2030,vde,1035.0
сільське господарство,Революційний,2035,dirt,1268.0
сільське господарство,Революційний,2035,vde,1514.0
сільське господарство,Революційний,2040,dirt,939.0
сільське господарство,Революційний,2040,vde,2010.0
сільське господарство,Революційний,2045,dirt,609.0
сільське господарство,Революційний,2045,vde,2460.0
сільське господарство,Революційний,2050,dirt,117.0
сільське господарство,Революційний,2050,vde,3059.0
транспорт,Базовий,2012,dirt,11400.0
транспорт,Базовий,2012,vde,48.0
транспорт,Базовий,2015,dirt,8683.0
транспорт,Базовий,2015,vde,66.0
транспорт,Базовий,2020,dirt,10551.0
транспорт,Базовий,2020,vde,413.0
транспорт,Базовий,2025,dirt,11401.0
транспорт,Базовий,2025,vde,574.0
транспорт,Базовий,2030,dirt,12260.0
транспорт,Базовий,2030,vde,579.0
транспорт,Базовий,2035,dirt,13185.0
транспорт,Базовий,2035,vde,708.0
транспорт,Базовий,2040,dirt,13976.0
транспорт,Базовий,2040,vde,1015.0
транспорт,Базовий,2045,dirt,14464.0
транспорт,Базовий,2045,vde,1482.0
транспорт,Базовий,2050,dirt,14750.0
транспорт,Базовий,2050,vde,1959.0
транспорт,Революційний,2012,dirt,11400.0
транспорт,Революційний,2012,vde,48.0
транспорт,Революційний,2015,dirt,8683.0
транспорт,Революційний,2015,vde,66.0
транспорт,Революційний,2020,dirt,9699.0
транспорт,Революційний,2020,vde,1070.0
транспорт,Революційний,2025,dirt,8185.0
транспорт,Революційний,2025,vde,2570.0
транспорт,Революційний,2030,dirt,6373.0
транспорт,Революційний,2030,vde,3893.0
транспорт,Революційний,2035,dirt,5299.0
транспорт,Революційний,2035,vde,4619.0
транспорт,Революційний,2040,dirt,4572.0
транспорт,Революційний,2040,vde,5295.0
транспорт,Революційний,2045,dirt,3475.0
транспорт,Революційний,2045,vde,5557.0
транспорт,Революційний,2050,dirt,257.1
транспорт,Революційний,2050,vde,7133.0
