source,sphere,scenario,year,ktne
Газ,населення,Базовий,2020,11658.0
Газ,населення,Базовий,2025,12289.0
Газ,населення,Базовий,2030,12627.0
Газ,населення,Базовий,2035,13172.0
Газ,населення,Базовий,2040,13736.0
Газ,населення,Базовий,2045,14281.0
Газ,населення,Базовий,2050,14357.0
Теплова енергія,населення,Базовий,2012,4677.0
Теплова енергія,населення,Базовий,2015,2864.0
Теплова енергія,населення,Базовий,2020,4044.0
Теплова енергія,населення,Базовий,2025,4191.0
Теплова енергія,населення,Базовий,2030,4301.0
Теплова енергія,населення,Базовий,2035,4485.0
Теплова енергія,населення,Базовий,2040,4680.0
Теплова енергія,населення,Базовий,2045,4880.0
Теплова енергія,населення,Базовий,2050,5091.0
Нафта та нафтопродукти,населення,Базовий,2012,71.0
Нафта та нафтопродукти,населення,Базовий,2015,14.0
Нафта та нафтопродукти,населення,Базовий,2020,69.0
Нафта та нафтопродукти,населення,Базовий,2025,0.0
Нафта та нафтопродукти,населення,Базовий,2030,0.0
Нафта та нафтопродукти,населення,Базовий,2035,0.0
Нафта та нафтопродукти,населення,Базовий,2040,0.0
Нафта та нафтопродукти,населення,Базовий,2045,0.0
Нафта та нафтопродукти,населення,Базовий,2050,148.0
Біопаливо та відходи,транспорт,Базовий,2012,0.0
Біопаливо та відходи,транспорт,Базовий,2015,34.0
Біопаливо та відходи,транспорт,Базовий,2020,358.0
Біопаливо та відходи,транспорт,Базовий,2025,511.0
Біопаливо та відходи,транспорт,Базовий,2030,513.0
Біопаливо та відходи,транспорт,Базовий,2035,642.0
Біопаливо та відходи,транспорт,Базовий,2040,949.0
Біопаливо та відходи,транспорт,Базовий,2045,1416.0
Біопаливо та відходи,транспорт,Базовий,2050,1888.0
Електроенергія з ВДЕ,транспорт,Базовий,2012,48.0
Електроенергія з ВДЕ,транспорт,Базовий,2015,32.0
Електроенергія з ВДЕ,транспорт,Базовий,2020,55.0
Електроенергія з ВДЕ,транспорт,Базовий,2025,63.0
Електроенергія з ВДЕ,транспорт,Базовий,2030,66.0
Електроенергія з ВДЕ,транспорт,Базовий,2035,66.0
Електроенергія з ВДЕ,транспорт,Базовий,2040,66.0
Електроенергія з ВДЕ,транспорт,Базовий,2045,66.0
Електроенергія з ВДЕ,транспорт,Базовий,2050,71.0
Вугілля,транспорт,Базовий,2012,12.0
Вугілля,транспорт,Базовий,2015,4.0
Вугілля,транспорт,Базовий,2020,11.0
Вугілля,транспорт,Базовий,2025,11.0
Вугілля,транспорт,Базовий,2030,12.0
Вугілля,транспорт,Базовий,2035,12.0
Вугілля,транспорт,Базовий,2040,12.0
Вугілля,транспорт,Базовий,2045,12.0
Вугілля,транспорт,Базовий,2050,12.0
Електроенергія,транспорт,Базовий,2012,750.0
Електроенергія,транспорт,Базовий,2015,553.0
Електроенергія,транспорт,Базовий,2020,695.0
Електроенергія,транспорт,Базовий,2025,753.0
Електроенергія,транспорт,Базовий,2030,790.0
Електроенергія,транспорт,Базовий,2035,854.0
Електроенергія,транспорт,Базовий,2040,922.0
Електроенергія,транспорт,Базовий,2045,960.0
Електроенергія,транспорт,Базовий,2050,1020.0
Газ,транспорт,Базовий,2012,2050.0
Газ,транспорт,Базовий,2015,1572.0
Газ,транспорт,Базовий,2020,1364.0
Газ,транспорт,Базовий,2025,1223.0
Газ,транспорт,Базовий,2030,1137.0
Газ,транспорт,Базовий,2035,1210.0
Газ,транспорт,Базовий,2040,1345.0
Газ,транспорт,Базовий,2045,1356.0
Газ,транспорт,Базовий,2050,1361.0
Нафта та нафтопродукти,транспорт,Базовий,2012,8588.0
Нафта та нафтопродукти,транспорт,Базовий,2015,6554.0
Нафта та нафтопродукти,транспорт,Базовий,2020,8481.0
Нафта та нафтопродукти,транспорт,Базовий,2025,9414.0
Нафта та нафтопродукти,транспорт,Базовий,2030,10321.0
Нафта та нафтопродукти,транспорт,Базовий,2035,11109.0
Нафта та нафтопродукти,транспорт,Базовий,2040,11697.0
Нафта та нафтопродукти,транспорт,Базовий,2045,12136.0
Нафта та нафтопродукти,транспорт,Базовий,2050,12357.0
Біопаливо та відходи,сфера послуг,Базовий,2012,27.0
Біопаливо та відходи,сфера послуг,Базовий,2015,46.0
Біопаливо та відходи,сфера послуг,Базовий,2020,543.0
Біопаливо та відходи,сфера послуг,Базовий,2025,627.0
