scenario,source,year,Загалом,Населення,Промисловість,Сфера послуг,Сільське господарство,Транспорт
Революційний,Теплова енергія з ВДЕ,2025,1815.0,734.0,611.0,411.0,59.0,0.0
Базовий,Біопаливо та відходи,2030,1497.0,234.0,130.0,592.0,28.0,513.0
Революційний,Біопаливо та відходи,2030,4724.0,225.0,278.0,313.0,739.0,3169.0
Базовий,Вугілля,2030,8568.0,510.0,7893.0,136.0,17.0,12.0
Революційний,Вугілля,2030,6032.0,510.0,5439.0,67.0,4.0,12.0
Базовий,Газ,2030,17513.0,12627.0,2809.0,791.0,149.0,1137.0
Революційний,Газ,2030,9167.0,6609.0,1830.0,388.0,120.0,220.0
Базовий,Електроенергія,2030,15144.0,3464.0,8171.0,2313.0,406.0,790.0
Революційний,Електроенергія,2030,6310.0,1299.0,3320.0,1011.0,152.0,528.0
Базовий,Електроенергія з ВДЕ,2030,1258.0,288.0,680.0,193.0,31.0,66.0
Революційний,Електроенергія з ВДЕ,2030,8655.0,1782.0,4554.0,1387.0,208.0,724.0
Базовий,Нафта та нафтопродукти,2030,13234.0,0.0,1156.0,57.0,1700.0,10321.0
Революційний,Нафта та нафтопродукти,2030,7361.0,0.0,774.0,0.0,974.0,5613.0
Базовий,Сонячна енергія,2030,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2030,642.0,642.0,0.0,0.0,0.0,0.0
Базовий,Теплова енергія,2030,11138.0,4301.0,3651.0,2798.0,388.0,0.0
Революційний,Теплова енергія,2030,7988.0,3471.0,2538.0,1704.0,275.0,0.0
Базовий,Теплова енергія з ВДЕ,2030,147.0,57.0,48.0,37.0,5.0,0.0
Революційний,Теплова енергія з ВДЕ,2030,2555.0,1110.0,812.0,545.0,88.0,0.0
Базовий,Біопаливо та відходи,2035,1736.0,137.0,159.0,769.0,29.0,642.0
Революційний,Біопаливо та відходи,2035,5695.0,137.0,478.0,440.0,1119.0,3521.0
Базовий,Вугілля,2035,9674.0,418.0,9107.0,119.0,18.0,12.0
Революційний,Вугілля,2035,5419.0,395.0,4910.0,100.0,2.0,12.0
Базовий,Газ,2035,18518.0,13172.0,3137.0,841.0,158.0,1210.0
Революційний,Газ,2035,7615.0,5450.0,1552.0,295.0,104.0,214.0
Базовий,Електроенергія,2035,16728.0,3577.0,9392.0,2475.0,430.0,854.0
Революційний,Електроенергія,2035,6457.0,1325.0,3374.0,967.0,144.0,647.0
Базовий,Електроенергія з ВДЕ,2035,1293.0,277.0,727.0,192.0,31.0,66.0
Революційний,Електроенергія з ВДЕ,2035,10964.0,2251.0,5728.0,1642.0,245.0,1098.0
Базовий,Нафта та нафтопродукти,2035,14242.0,0.0,1200.0,89.0,1844.0,11109.0
Революційний,Нафта та нафтопродукти,2035,5873.0,0.0,676.0,0.0,771.0,4426.0
Базовий,Сонячна енергія,2035,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2035,1386.0,1372.0,0.0,14.0,0.0,0.0
Базовий,Теплова енергія,2035,11707.0,4485.0,3906.0,2903.0,413.0,0.0
Революційний,Теплова енергія,2035,6435.0,2867.0,2090.0,1231.0,247.0,0.0
Базовий,Теплова енергія з ВДЕ,2035,170.0,65.0,57.0,42.0,6.0,0.0
Революційний,Теплова енергія з ВДЕ,2035,3904.0,1739.0,1268.0,747.0,150.0,0.0
Базовий,Біопаливо та відходи,2040,2032.0,39.0,181.0,833.0,30.0,949.0
Революційний,Біопаливо та відходи,2040,6264.0,39.0,680.0,391.0,1491.0,3663.0
Базовий,Вугілля,2040,10603.0,324.0,10149.0,99.0,19.0,12.0
Революційний,Вугілля,2040,4005.0,176.0,3739.0,79.0,1.0,10.0
Базовий,Газ,2040,19486.0,13736.0,3356.0,883.0,166.0,1345.0
Революційний,Газ,2040,6748.0,4061.0,1152.0,267.0,77.0,1191.0
Базовий,Електроенергія,2040,17921.0,3702.0,10242.0,2607.0,448.0,922.0
Революційний,Електроенергія,2040,6034.0,1259.0,3116.0,849.0,123.0,687.0
Базовий,Електроенергія з ВДЕ,2040,1279.0,265.0,732.0,186.0,30.0,66.0
Революційний,Електроенергія з ВДЕ,2040,14334.0,2990.0,7401.0,2018.0,293.0,1632.0
Базовий,Нафта та нафтопродукти,2040,14913.0,0.0,1197.0,63.0,1956.0,11697.0
Революційний,Нафта та нафтопродукти,2040,4131.0,0.0,909.0,2.0,536.0,2684.0
Базовий,Сонячна енергія,2040,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2040,2383.0,2265.0,0.0,118.0,0.0,0.0
Базовий,Теплова енергія,2040,12124.0,4680.0,3966.0,3045.0,433.0,0.0
Революційний,Теплова енергія,2040,4654.0,2129.0,1516.0,807.0,202.0,0.0
Базовий,Теплова енергія з ВДЕ,2040,184.0,71.0,60.0,46.0,7.0,0.0
Революційний,Теплова енергія з ВДЕ,2040,5197.0,2377.0,1693.0,901.0,226.0,0.0
Базовий,Біопаливо та відходи,2045,2525.0,0.0,201.0,877.0,31.0,1416.0
Революційний,Біопаливо та відходи,2045,6220.0,0.0,889.0,180.0,1845.0,3306.0
Базовий,Вугілля,2045,11392.0,234.0,11032.0,94.0,20.0,12.0
Революційний,Вугілля,2045,2790.0,109.0,2603.0,72.0,1.0,5.0
Базовий,Газ,2045,20285.0,14281.0,3559.0,918.0,171.0,1356.0
Революційний,Газ,2045,4563.0,1981.0,776.0,233.0,51.0,1522.0
Базовий,Електроенергія,2045,18605.0,3828.0,10642.0,2714.0,461.0,960.0
Революційний,Електроенергія,2045,5950.0,1252.0,3038.0,802.0,109.0,749.0
Базовий,Електроенергія з ВДЕ,2045,1286.0,265.0,737.0,188.0,30.0,66.0
Революційний,Електроенергія з ВДЕ,2045,17883.0,3763.0,9132.0,2410.0,327.0,2251.0
Базовий,Нафта та нафтопродукти,2045,15433.0,0.0,1203.0,48.0,2046.0,12136.0
Революційний,Нафта та нафтопродукти,2045,1707.0,0.0,223.0,0.0,285.0,1199.0
Базовий,Сонячна енергія,2045,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2045,3829.0,3304.0,0.0,525.0,0.0,0.0
Базовий,Теплова енергія,2045,12583.0,4880.0,4091.0,3163.0,449.0,0.0
Революційний,Теплова енергія,2045,3466.0,1689.0,1106.0,508.0,163.0,0.0
Базовий,Теплова енергія з ВДЕ,2045,209.0,81.0,68.0,53.0,7.0,0.0
Революційний,Теплова енергія з ВДЕ,2045,6118.0,2980.0,1953.0,897.0,288.0,0.0
Базовий,Біопаливо та відходи,2050,3039.0,0.0,219.0,901.0,31.0,1888.0
Революційний,Біопаливо та відходи,2050,7334.0,0.0,1235.0,80.0,2232.0,3787.0
Базовий,Вугілля,2050,12033.0,144.0,11761.0,96.0,20.0,12.0
Революційний,Вугілля,2050,621.0,0.0,547.0,74.0,0.0,0.0
Базовий,Газ,2050,20578.0,14357.0,3743.0,941.0,176.0,1361.0
Революційний,Газ,2050,460.1,0.0,276.0,184.0,0.0,0.1
Базовий,Електроенергія,2050,18991.0,3959.0,10739.0,2801.0,472.0,1020.0
Революційний,Електроенергія,2050,1920.0,403.0,983.0,247.0,33.0,254.0
Базовий,Електроенергія з ВДЕ,2050,1321.0,276.0,748.0,195.0,31.0,71.0
Революційний,Електроенергія з ВДЕ,2050,25292.0,5309.0,12946.0,3252.0,439.0,3346.0
Базовий,Нафта та нафтопродукти,2050,15891.0,148.0,1216.0,49.0,2121.0,12357.0
Революційний,Нафта та нафтопродукти,2050,3.0,0.0,0.0,0.0,0.0,3.0
Базовий,Сонячна енергія,2050,0.0,0.0,0.0,0.0,0.0,0.0
Революційний,Сонячна енергія,2050,1012.0,0.0,0.0,1012.0,0.0,0.0
Базовий,Теплова енергія,2050,13050.0,5091.0,4254.0,3242.0,463.0,0.0
Революційний,Теплова енергія,2050,1604.0,834.0,503.0,183.0,84.0,0.0
Базовий,Теплова енергія з ВДЕ,2050,232.0,90.0,76.0,58.0,8.0,0.0
Революційний,Теплова енергія з ВДЕ,2050,7446.0,3873.0,2335.0,850.0,388.0,0.0
